ScientificName,AphiaID,Match type,Qualitystatus,Taxon status,ScientificName,Authority,AphiaID_accepted,ScientificName_accepted,Authority_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,isMarine,isBrackish,isFresh,isTerrestrial,Citation
Diplolaimella,2444,exact,Checked by Taxonomic Editor,accepted,Diplolaimella,"Allgén, 1929",2444,Diplolaimella,"Allgén, 1929",Animalia,Nematoda,Chromadorea,Monhysterida,Monhysteridae,Diplolaimella,,,,1,1,1,,"Nemys eds. (2022). Nemys: World Database of Nematodes. Diplolaimella Allgén, 1929. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=2444 on 2022-06-30"
Diplolaimelloides,2445,exact,Checked by Taxonomic Editor,accepted,Diplolaimelloides,"Meyl, 1954",2445,Diplolaimelloides,"Meyl, 1954",Animalia,Nematoda,Chromadorea,Monhysterida,Monhysteridae,Diplolaimelloides,,,,1,1,,,"Nemys eds. (2022). Nemys: World Database of Nematodes. Diplolaimelloides Meyl, 1954. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=2445 on 2022-06-30"
Diploscapter,153172,exact,Checked by Taxonomic Editor,accepted,Diploscapter,"Cobb, 1913",153172,Diploscapter,"Cobb, 1913",Animalia,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Diploscapter,,,,0,0,0,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Diploscapter Cobb, 1913. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=153172 on 2022-06-30"
Discocriconemella,1427590,exact,Checked by Taxonomic Editor,accepted,Discocriconemella,"De Griesse & Loof, 1965",1427590,Discocriconemella,"De Griesse & Loof, 1965",Animalia,Nematoda,Chromadorea,Rhabditida,Criconematidae,Discocriconemella,,,,0,0,,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Discocriconemella De Griesse & Loof, 1965. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1427590 on 2022-06-30"
Discolaimium,582914,exact,Checked by Taxonomic Editor,accepted,Discolaimium,"Thorne, 1939",582914,Discolaimium,"Thorne, 1939",Animalia,Nematoda,Enoplea,Dorylaimida,Qudsianematidae,Discolaimium,,,,0,0,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Discolaimium Thorne, 1939. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=582914 on 2022-06-30"
Discolaimoides,1294140,exact,Checked by Taxonomic Editor,accepted,Discolaimoides,"Heyns, 1963",1294140,Discolaimoides,"Heyns, 1963",Animalia,Nematoda,Enoplea,Dorylaimida,Qudsianematidae,Discolaimoides,,,,0,0,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Discolaimoides Heyns, 1963. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1294140 on 2022-06-30"
Discolaimus,582915,exact,Checked by Taxonomic Editor,accepted,Discolaimus,"Cobb, 1913",582915,Discolaimus,"Cobb, 1913",Animalia,Nematoda,Enoplea,Dorylaimida,Qudsianematidae,Discolaimus,,,,0,0,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Discolaimus Cobb, 1913. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=582915 on 2022-06-30"
Ditylenchus,1294016,exact,Checked by Taxonomic Editor,accepted,Ditylenchus,"Filipjev, 1936",1294016,Ditylenchus,"Filipjev, 1936",Animalia,Nematoda,Chromadorea,Rhabditida,Anguinidae,Ditylenchus,,,,,,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Ditylenchus Filipjev, 1936. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1294016 on 2022-06-30"
Dorydorella,1293985,exact,Checked by Taxonomic Editor,accepted,Dorydorella,"Andrássy, 1987",1293985,Dorydorella,"Andrássy, 1987",Animalia,Nematoda,Enoplea,Dorylaimida,Qudsianematidae,Dorydorella,,,,0,0,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Dorydorella Andrássy, 1987. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1293985 on 2022-06-30"
Dorylaimellus,582920,exact,Checked by Taxonomic Editor,accepted,Dorylaimellus,"Cobb, 1913",582920,Dorylaimellus,"Cobb, 1913",Animalia,Nematoda,Enoplea,Dorylaimida,Belondiridae,Dorylaimellus,,,,0,0,0,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Dorylaimellus Cobb, 1913. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=582920 on 2022-06-30"
Dorylaimoides,582921,exact,Checked by Taxonomic Editor,accepted,Dorylaimoides,"Thorne & Swanger, 1936",582921,Dorylaimoides,"Thorne & Swanger, 1936",Animalia,Nematoda,Enoplea,Dorylaimida,Mydonomidae,Dorylaimoides,,,,0,0,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Dorylaimoides Thorne & Swanger, 1936. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=582921 on 2022-06-30"
Doryllium,582923,exact,Checked by Taxonomic Editor,accepted,Doryllium,"Cobb, 1920",582923,Doryllium,"Cobb, 1920",Animalia,Nematoda,Enoplea,Dorylaimida,Tylencholaimellidae,Doryllium,,,,0,1,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Doryllium Cobb, 1920. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=582923 on 2022-06-30"
Drepanodorylaimus,889765,exact,Checked by Taxonomic Editor,accepted,Drepanodorylaimus,"Jairajpuri, 1966",889765,Drepanodorylaimus,"Jairajpuri, 1966",Animalia,Nematoda,Enoplea,Dorylaimida,Dorylaimidae,Drepanodorylaimus,,,,,,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Drepanodorylaimus Jairajpuri, 1966. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=889765 on 2022-06-30"
Ecumenicus,889751,exact,Checked by Taxonomic Editor,accepted,Ecumenicus,"Thorne, 1974",889751,Ecumenicus,"Thorne, 1974",Animalia,Nematoda,Enoplea,Dorylaimida,Qudsianematidae,Ecumenicus,,,,0,,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Ecumenicus Thorne, 1974. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=889751 on 2022-06-30"
Enchodelus,582925,exact,Checked by Taxonomic Editor,accepted,Enchodelus,"Ahmad & Jairajpuri, 1980",582925,Enchodelus,"Ahmad & Jairajpuri, 1980",Animalia,Nematoda,Enoplea,Dorylaimida,Nordiidae,Enchodelus,,,,0,0,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Enchodelus Ahmad & Jairajpuri, 1980. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=582925 on 2022-06-30"
Epidorylaimus,889750,exact,Checked by Taxonomic Editor,accepted,Epidorylaimus,"Andrássy, 1986",889750,Epidorylaimus,"Andrássy, 1986",Animalia,Nematoda,Enoplea,Dorylaimida,Qudsianematidae,Epidorylaimus,,,,0,,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Epidorylaimus Andrássy, 1986. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=889750 on 2022-06-30"
Ethmolaimus,2323,exact,Checked by Taxonomic Editor,accepted,Ethmolaimus,"de Man, 1880",2323,Ethmolaimus,"de Man, 1880",Animalia,Nematoda,Chromadorea,Chromadorida,Ethmolaimidae,Ethmolaimus,,,,1,1,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Ethmolaimus de Man, 1880. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=2323 on 2022-06-30"
Eucephalobus,153389,exact,Checked by Taxonomic Editor,accepted,Eucephalobus,"Steiner, 1936",153389,Eucephalobus,"Steiner, 1936",Animalia,Nematoda,Chromadorea,Rhabditida,Cephalobidae,Eucephalobus,,,,0,0,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Eucephalobus Steiner, 1936. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=153389 on 2022-06-30"
Eudorylaimus,153384,exact,Checked by Taxonomic Editor,accepted,Eudorylaimus,"Andrássy, 1959",153384,Eudorylaimus,"Andrássy, 1959",Animalia,Nematoda,Enoplea,Dorylaimida,Qudsianematidae,Eudorylaimus,,,,0,0,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Eudorylaimus Andrássy, 1959. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=153384 on 2022-06-30"
Eumonhystera,231716,exact,Checked by Taxonomic Editor,accepted,Eumonhystera,"Andrássy, 1981",231716,Eumonhystera,"Andrássy, 1981",Animalia,Nematoda,Chromadorea,Monhysterida,Monhysteridae,Eumonhystera,,,,1,0,1,0,"Nemys eds. (2022). Nemys: World Database of Nematodes. Eumonhystera Andrássy, 1981. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=231716 on 2022-06-30"
Fictor,1294117,exact,Checked by Taxonomic Editor,accepted,Fictor,"Paramonov, 1952",1294117,Fictor,"Paramonov, 1952",Animalia,Nematoda,Chromadorea,Rhabditida,Diplogastridae,Fictor,,,,0,0,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Fictor Paramonov, 1952. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1294117 on 2022-06-30"
Filenchus,1061160,exact,Checked by Taxonomic Editor,accepted,Filenchus,"Andrássy, 1954",1061160,Filenchus,"Andrássy, 1954",Animalia,Nematoda,Chromadorea,Rhabditida,Tylenchidae,Filenchus,,,,0,,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Filenchus Andrássy, 1954. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1061160 on 2022-06-30"
Funaria,1294050,exact,Checked by Taxonomic Editor,accepted,Funaria,"van der Linde, 1938",1294050,Funaria,"van der Linde, 1938",Animalia,Nematoda,Enoplea,Dorylaimida,Leptonchidae,Funaria,,,,,,1,,"Nemys eds. (2022). Nemys: World Database of Nematodes. Funaria van der Linde, 1938. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1294050 on 2022-06-30"
Geocenamus,1426313,exact,Checked by Taxonomic Editor,accepted,Geocenamus,"Thorne & Malek, 1968",1426313,Geocenamus,"Thorne & Malek, 1968",Animalia,Nematoda,Chromadorea,Rhabditida,Dolichodoridae,Geocenamus,,,,0,0,,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Geocenamus Thorne & Malek, 1968. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1426313 on 2022-06-30"
Geomonhystera,153330,exact,Checked by Taxonomic Editor,accepted,Geomonhystera,"Andrássy, 1981",153330,Geomonhystera,"Andrássy, 1981",Animalia,Nematoda,Chromadorea,Monhysterida,Monhysteridae,Geomonhystera,,,,1,,,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Geomonhystera Andrássy, 1981. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=153330 on 2022-06-30"
Globodera,1315836,exact,Checked by Taxonomic Editor,accepted,Globodera,"Skarbilovich, 1959",1315836,Globodera,"Skarbilovich, 1959",Animalia,Nematoda,Chromadorea,Rhabditida,Heteroderidae,Globodera,,,,,,,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Globodera Skarbilovich, 1959. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1315836 on 2022-06-30"
Gracilacus,1294132,exact,Checked by Taxonomic Editor,unaccepted,Gracilacus,"Raski, 1962",583003,Paratylenchus,"Micoletzky, 1922",Animalia,Nematoda,Chromadorea,Rhabditida,Tylenchulidae,Gracilacus,,,,0,0,0,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Gracilacus Raski, 1962. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1294132 on 2022-06-30"
Helicotylenchus,582936,exact,Checked by Taxonomic Editor,accepted,Helicotylenchus,"Steiner, 1945",582936,Helicotylenchus,"Steiner, 1945",Animalia,Nematoda,Chromadorea,Rhabditida,Hoplolaimidae,Helicotylenchus,,,,0,0,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Helicotylenchus Steiner, 1945. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=582936 on 2022-06-30"
Hemicaloosia,1585030,exact,Checked by Taxonomic Editor,accepted,Hemicaloosia,"Ray & Das, 1978",1585030,,,Animalia,Nematoda,Chromadorea,Rhabditida,Hemicycliophoridae,Hemicaloosia,,,,,,,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Hemicaloosia Ray & Das, 1978. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1585030 on 2022-06-30"
Hemicriconemoides,582937,exact,Checked by Taxonomic Editor,accepted,Hemicriconemoides,"Chitwood & Birchfield, 1957",582937,Hemicriconemoides,"Chitwood & Birchfield, 1957",Animalia,Nematoda,Chromadorea,Rhabditida,Criconematidae,Hemicriconemoides,,,,0,0,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Hemicriconemoides Chitwood & Birchfield, 1957. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=582937 on 2022-06-30"
Hemicycliophora,582938,exact,Checked by Taxonomic Editor,accepted,Hemicycliophora,"de Man, 1921",582938,Hemicycliophora,"de Man, 1921",Animalia,Nematoda,Chromadorea,Rhabditida,Hemicycliophoridae,Hemicycliophora,,,,0,0,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Hemicycliophora de Man, 1921. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=582938 on 2022-06-30"
Heterocephalobellus,1318972,exact,Checked by Taxonomic Editor,accepted,Heterocephalobellus,"Rashid, Geraert & Sharma, 1985",1318972,Heterocephalobellus,"Rashid, Geraert & Sharma, 1985",Animalia,Nematoda,Chromadorea,Rhabditida,Cephalobidae,Heterocephalobellus,,,,0,0,0,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Heterocephalobellus Rashid, Geraert & Sharma, 1985. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1318972 on 2022-06-30"
Heterocephalobus,153392,exact,Checked by Taxonomic Editor,unaccepted,Heterocephalobus,"(Brzeski, 1960) Brzeski, 1961",1318977,Pseudacrobeles,"Steiner, 1938",Animalia,Nematoda,Chromadorea,Rhabditida,Cephalobidae,Heterocephalobus,,,,0,0,,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Heterocephalobus (Brzeski, 1960) Brzeski, 1961. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=153392 on 2022-06-30"
Heterodera,1294045,exact,Checked by Taxonomic Editor,accepted,Heterodera,"Schmidt, 1871",1294045,Heterodera,"Schmidt, 1871",Animalia,Nematoda,Chromadorea,Rhabditida,Heteroderidae,Heterodera,,,,0,1,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Heterodera Schmidt, 1871. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1294045 on 2022-06-30"
Heterorhabditis,1537121,exact,Checked by Taxonomic Editor,accepted,Heterorhabditis,"Poinar, 1975",1537121,Heterorhabditis,"Poinar, 1975",Animalia,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Heterorhabditis,,,,0,0,0,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Heterorhabditis Poinar, 1975. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1537121 on 2022-06-30"
Hirschmaniella,1060983,phonetic,Checked by Taxonomic Editor,accepted,Hirschmanniella,"Luc & Goodey, 1963",1060983,Hirschmanniella,"Luc & Goodey, 1963",Animalia,Nematoda,Chromadorea,Rhabditida,Pratylenchidae,Hirschmanniella,,,,1,1,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Hirschmanniella Luc & Goodey, 1963. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1060983 on 2022-06-30"
Hoplolaimus,582943,exact,Checked by Taxonomic Editor,accepted,Hoplolaimus,"Daday, 1905",582943,Hoplolaimus,"Daday, 1905",Animalia,Nematoda,Chromadorea,Rhabditida,Hoplolaimidae,Hoplolaimus,,,,0,0,0,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Hoplolaimus Daday, 1905. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=582943 on 2022-06-30"
Howardula,1584984,exact,Checked by Taxonomic Editor,accepted,Howardula,"Cobb, 1921",1584984,,,Animalia,Nematoda,Chromadorea,Rhabditida,Allantonematidae,Howardula,,,,,,,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Howardula Cobb, 1921. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1584984 on 2022-06-30"
Iotonchus,582947,exact,Checked by Taxonomic Editor,accepted,Iotonchus,"Cobb, 1916",582947,Iotonchus,"Cobb, 1916",Animalia,Nematoda,Enoplea,Mononchida,Iotonchidae,Iotonchus,,,,0,,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Iotonchus Cobb, 1916. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=582947 on 2022-06-30"
Ironus,227322,exact,Checked by Taxonomic Editor,accepted,Ironus,"Bastian, 1865",227322,Ironus,"Bastian, 1865",Animalia,Nematoda,Enoplea,Enoplida,Ironidae,Ironus,,,,0,1,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Ironus Bastian, 1865. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=227322 on 2022-06-30"
Isolaimium,227386,exact,Checked by Taxonomic Editor,accepted,Isolaimium,"Cobb, 1920",227386,Isolaimium,"Cobb, 1920",Animalia,Nematoda,Enoplea,Isolaimida,Isolaimiidae,Isolaimium,,,,0,0,0,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Isolaimium Cobb, 1920. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=227386 on 2022-06-30"
Labronema,887841,exact,Checked by Taxonomic Editor,accepted,Labronema,"Thorne, 1939",887841,Labronema,"Thorne, 1939",Animalia,Nematoda,Enoplea,Dorylaimida,Qudsianematidae,Labronema,,,,,,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Labronema Thorne, 1939. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=887841 on 2022-06-30"
Labronemella,1294141,exact,Checked by Taxonomic Editor,accepted,Labronemella,"Andrássy, 1985",1294141,Labronemella,"Andrássy, 1985",Animalia,Nematoda,Enoplea,Dorylaimida,Qudsianematidae,Labronemella,,,,,,1,,"Nemys eds. (2022). Nemys: World Database of Nematodes. Labronemella Andrássy, 1985. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1294141 on 2022-06-30"
Laevides,1294124,exact,Checked by Taxonomic Editor,accepted,Laevides,"Heyns, 1968",1294124,Laevides,"Heyns, 1968",Animalia,Nematoda,Enoplea,Dorylaimida,Nygolaimidae,Laevides,,,,,,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Laevides Heyns, 1968. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1294124 on 2022-06-30"
Laimaphelenchus,1584943,exact,Checked by Taxonomic Editor,accepted,Laimaphelenchus,"Fuchs, 1937",1584943,,,Animalia,Nematoda,Chromadorea,Rhabditida,Aphelenchoididae,Laimaphelenchus,,,,,,,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Laimaphelenchus Fuchs, 1937. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1584943 on 2022-06-30"
Laimydorus,582952,exact,Checked by Taxonomic Editor,accepted,Laimydorus,"Siddiqi, 1969",582952,Laimydorus,"Siddiqi, 1969",Animalia,Nematoda,Enoplea,Dorylaimida,Dorylaimidae,Laimydorus,,,,0,0,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Laimydorus Siddiqi, 1969. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=582952 on 2022-06-30"
Lelenchus,1061141,exact,Checked by Taxonomic Editor,accepted,Lelenchus,"Andrássy, 1954",1061141,Lelenchus,"Andrássy, 1954",Animalia,Nematoda,Chromadorea,Rhabditida,Tylenchidae,Lelenchus,,,,0,,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Lelenchus Andrássy, 1954. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1061141 on 2022-06-30"
Leptolaimus,2407,exact,Checked by Taxonomic Editor,accepted,Leptolaimus,"de Man, 1876",2407,Leptolaimus,"de Man, 1876",Animalia,Nematoda,Chromadorea,Plectida,Leptolaimidae,Leptolaimus,,,,1,1,,,"Nemys eds. (2022). Nemys: World Database of Nematodes. Leptolaimus de Man, 1876. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=2407 on 2022-06-30"
Leptonchus,582955,exact,Checked by Taxonomic Editor,accepted,Leptonchus,"Cobb, 1920",582955,Leptonchus,"Cobb, 1920",Animalia,Nematoda,Enoplea,Dorylaimida,Leptonchidae,Leptonchus,,,,0,0,0,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Leptonchus Cobb, 1920. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=582955 on 2022-06-30"
Lobocriconema,1427565,exact,Checked by Taxonomic Editor,accepted,Lobocriconema,"De Grisse & Loof, 1965",1427565,Lobocriconema,"De Grisse & Loof, 1965",Animalia,Nematoda,Chromadorea,Rhabditida,Criconematidae,Lobocriconema,,,,0,0,,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Lobocriconema De Grisse & Loof, 1965. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1427565 on 2022-06-30"
Longidorella,932412,exact,Checked by Taxonomic Editor,accepted,Longidorella,"Thorne, 1939",932412,Longidorella,"Thorne, 1939",Animalia,Nematoda,Enoplea,Dorylaimida,Nordiidae,Longidorella,,,,0,,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Longidorella Thorne, 1939. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=932412 on 2022-06-30"
Longidorus,1294053,exact,Checked by Taxonomic Editor,accepted,Longidorus,"Micoletzky, 1922",1294053,Longidorus,"Micoletzky, 1922",Animalia,Nematoda,Enoplea,Dorylaimida,Longidoridae,Longidorus,,,,,,0,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Longidorus Micoletzky, 1922. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1294053 on 2022-06-30"
Lordellonema,582956,exact,Checked by Taxonomic Editor,accepted,Lordellonema,"Andrássy, 1960",582956,Lordellonema,"Andrássy, 1960",Animalia,Nematoda,Enoplea,Dorylaimida,Qudsianematidae,Lordellonema,,,,0,0,0,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Lordellonema Andrássy, 1960. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=582956 on 2022-06-30"
Macroposthonia,1061027,exact,Checked by Taxonomic Editor,unaccepted,Macroposthonia,"de Man, 1880",1061007,Mesocriconema,"Andrássy, 1965",Animalia,Nematoda,Chromadorea,Rhabditida,Criconematidae,Macroposthonia,,,,0,0,,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Macroposthonia de Man, 1880. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1061027 on 2022-06-30"
Malenchus,1061119,exact,Checked by Taxonomic Editor,accepted,Malenchus,"Andrássy, 1968",1061119,Malenchus,"Andrássy, 1968",Animalia,Nematoda,Chromadorea,Rhabditida,Tylenchidae,Malenchus,,,,0,,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Malenchus Andrássy, 1968. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1061119 on 2022-06-30"
Meloidogyne,1294055,exact,Checked by Taxonomic Editor,accepted,Meloidogyne,"Goeldi, 1892",1294055,Meloidogyne,"Goeldi, 1892",Animalia,Nematoda,Chromadorea,Rhabditida,Meloidogynidae,Meloidogyne,,,,,,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Meloidogyne Goeldi, 1892. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1294055 on 2022-06-30"
Merlinius,1323907,exact,Checked by Taxonomic Editor,unaccepted,Merlinius,"Siddiqi, 1979",1294154,Scutylenchus,"Jairajpuri, 1971",Animalia,Nematoda,Chromadorea,Rhabditida,Dolichodoridae,Merlinius,,,,0,0,,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Merlinius Siddiqi, 1979. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1323907 on 2022-06-30"
Mermis,1294087,exact,Checked by Taxonomic Editor,accepted,Mermis,"Dujardin, 1842",1294087,Mermis,"Dujardin, 1842",Animalia,Nematoda,Enoplea,Mermithida,Mermithidae,Mermis,,,,,,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Mermis Dujardin, 1842. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1294087 on 2022-06-30"
Mesocriconema,1061007,exact,Checked by Taxonomic Editor,accepted,Mesocriconema,"Andrássy, 1965",1061007,Mesocriconema,"Andrássy, 1965",Animalia,Nematoda,Chromadorea,Rhabditida,Criconematidae,Mesocriconema,,,,0,0,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Mesocriconema Andrássy, 1965. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1061007 on 2022-06-30"
Mesodorylaimus,153386,exact,Checked by Taxonomic Editor,accepted,Mesodorylaimus,"Andrássy, 1959",153386,Mesodorylaimus,"Andrássy, 1959",Animalia,Nematoda,Enoplea,Dorylaimida,Dorylaimidae,Mesodorylaimus,,,,1,,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Mesodorylaimus Andrássy, 1959. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=153386 on 2022-06-30"
Mesorhabditis,582964,exact,Checked by Taxonomic Editor,accepted,Mesorhabditis,"Osche, 1952",582964,Mesorhabditis,"Osche, 1952",Animalia,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Mesorhabditis,,,,0,1,0,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Mesorhabditis Osche, 1952. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=582964 on 2022-06-30"
